phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.29999999999999999,1066.252526470746,9.0290942588756289e-11,1.1366994779357737e-13,3.9258513193142243e-10,0.14253936227610259,2.7478662198469646e-07,0.061099657985506053,1.4755228303631985e-09,1.4500340600010798e-10,9.6574460818377338e-48,3.3847818278457532e-49,3.5327718660014744e-47,2.4778681158783894e-49,7.7754699610824115e-44,3.435976989526702e-42,4.0684928477273174e-11,0.030549898142110062,8.3719256203263514e-26,1.9557600809368353e-27,3.7500015616695403e-39,1.1157531103197308e-41,4.3697615551821529e-39,2.1300274059278769e-66,4.095488805089523e-59,1.1147379773705142e-69,4.7405072551076639e-67,1.9781523903273724e-77,3.9894813265228787e-77,1.66774173936091e-51,2.2335769247385946e-49,1.0058697788962311e-55,9.1753844409374233e-21,3.0446272351519227e-22,4.1359921164400528e-22,2.9060173031524085e-19,6.1930479890645872e-20,5.059458642571569e-05,1.4599292418194915e-06,3.8781031103350508e-09,7.0089930183627906e-14,5.1117317406393612e-37,1.6186314730112789e-30,9.7989221337368977e-44,3.1443118527882364e-49,3.8215219464228275e-36,2.6516903166672782e-27,3.9265719310820207e-22,3.4125428534923706e-26,0.76575808291873371,0.0,7.5149164859290881e-112,1.5841498049780121e-111,2.7635168330753624e-60,8.0050964243243734e-60,0.0
0.36530612244897959,1208.1536176640902,3.1025594439658236e-09,1.2785255554436644e-11,1.0654922270786156e-08,0.12832855064930715,2.5396449069399769e-06,0.073907636520329209,8.747814586200985e-09,6.8653957485968572e-10,3.3423664076076667e-41,1.3372876992915046e-42,5.1398715944342071e-41,5.8608449874997388e-43,2.4402573473692038e-38,3.0970981637610036e-37,2.177700582383725e-09,0.036954455079570868,1.910887664318668e-22,3.3363166027093253e-24,1.308204067159511e-34,5.6280817720421657e-37,6.8472387456608999e-35,1.4073065076147013e-57,1.7363679945126954e-51,6.5428148030601289e-61,5.7851638501255078e-59,3.2667110419620595e-68,2.5047327007164633e-68,5.9190753300193464e-45,2.2512359683656382e-43,5.6515193566767522e-49,5.0850645203463694e-18,2.0085760267995177e-19,1.6912139283247783e-19,2.7936817594389904e-17,9.5411807541360327e-18,0.00016065825195269023,2.0478793139875868e-06,1.1075937429142361e-08,1.509916312691168e-12,4.2054254115066752e-32,1.3068647095626167e-26,2.0562508423100043e-38,2.1177513759501572e-43,5.0823086007570147e-32,2.9916588992997848e-24,1.1093024329656588e-19,4.7167967356554928e-23,0.76064368644290359,0.0,7.9477017119286005e-99,6.2209131524064993e-99,4.0082336793921369e-53,5.0995028143826812e-53,0.0
0.43061224489795918,1343.3388172960567,4.6803237388877655e-08,4.6705173295006594e-10,1.2748588866836789e-07,0.1142479294176868,1.3632152323441283e-05,0.08654301770466892,3.2959920133110579e-08,2.2271345330663656e-09,3.0967851489535328e-36,1.3917458313302916e-37,2.5544744505601636e-36,4.205761709260736e-38,3.8822468687379381e-34,1.963591072653467e-33,4.5344046101911252e-08,0.043274904419401038,6.9358672849340147e-20,9.9172986192218833e-22,3.8870332683487577e-31,2.2136088973257632e-33,1.1317865512348176e-31,7.4097615506920618e-51,1.1692784674800703e-45,3.2687128096444555e-54,8.9998118678163823e-53,3.7139597384611379e-61,1.4004405867076754e-61,5.8671842667138548e-40,8.8034622122287639e-39,8.1363850211546333e-44,6.0673804973190713e-16,2.7729797791994706e-17,1.6546278341408009e-17,9.3175863500270819e-16,4.3863466986605584e-16,0.00037762170594730004,2.5543254827279864e-06,2.4187325134765431e-08,1.5411658771242329e-11,2.2922693281556321e-28,1.2604786780452304e-23,2.3743954702655188e-34,5.8230119993371105e-39,7.055987129787181e-29,6.3874399672339964e-22,8.3492572999779749e-18,1.1569384095389427e-20,0.75554228042659322,0.0,7.4986532738190813e-89,2.8358339187656518e-89,1.1982895661644426e-47,8.3627342182920744e-48,0.0
0.49591836734693878,1472.3196767717445,4.0565117295616478e-07,7.9915596964735454e-09,8.7516521321853865e-07,0.10027924177401995,5.0610206827539272e-05,0.099000274347376196,9.0994166937954623e-08,5.5700262396428927e-09,2.5191584546091808e-32,1.2594304667486214e-33,1.315726382671265e-32,2.888210372032293e-34,8.355011084422046e-31,2.1021560114162642e-30,5.0127875383724641e-07,0.049512518822974458,7.3210895343276721e-18,9.1248021387179571e-20,2.2078355020829345e-28,1.5687847143750338e-30,4.1354609176835871e-29,1.5244769504770395e-45,4.8958965882958321e-41,6.6783363291798714e-49,7.5202765991140477e-48,1.4989148588302298e-55,3.3074575634782885e-56,5.2682085940910941e-36,3.892972158502264e-35,1.0012225140862174e-39,2.5717384912022638e-14,1.3357960550960841e-15,6.1880008555000704e-16,1.5268801178914832e-14,8.9348662312914701e-15,0.00072241096500447915,2.9235145872152511e-06,4.3904231433825306e-08,9.4925469833939936e-11,2.0210254514100576e-25,2.9242134168401836e-21,3.9150276648958031e-31,1.8671707722749437e-35,2.1428319767632369e-26,4.4569502493774891e-20,2.5837384969018912e-16,8.8712031118605325e-19,0.75044213008136895,0.0,6.3801982507902896e-81,1.3926251419754526e-81,2.6484848624674345e-43,1.1782691276153464e-43,0.0
0.56122448979591844,1595.4762580463107,2.3804896548136584e-06,7.9984070234081776e-08,4.0369797120911905e-06,0.086414763602257944,0.00014435006940370762,0.11126583276472682,2.0023257126314341e-07,1.152116374804471e-08,3.6950109870720156e-29,2.0442981490141569e-30,1.3779266143274511e-29,3.8120500583264566e-31,4.4191214465197152e-28,6.4790424189946135e-28,3.5545347814023613e-06,0.055666715527411759,3.2416987383071711e-16,3.6853510932374199e-18,3.9187528289070255e-26,3.3324693727013151e-28,5.240882891734744e-27,3.2184235926027733e-41,2.9244365265409487e-37,1.4494699203197742e-44,8.1044629107787818e-44,5.8282769965891057e-51,8.5196741115114209e-52,8.7595323161671349e-33,3.7331095751556739e-32,2.1911525048823726e-36,5.2400178145556025e-13,3.0594282406947862e-14,1.1753613559991005e-14,1.5197399442435639e-13,1.0245106998090393e-13,0.0011897277703981756,3.1218078953713831e-06,6.9590802998431392e-08,4.0797683277217455e-10,4.9524862458835423e-23,2.4978884649979021e-19,1.6457925637353394e-28,1.3202918431013373e-32,2.2295700039637059e-24,1.4162578192244582e-18,4.2810882915435695e-15,2.997538380019784e-17,0.74534463663887718,0.0,2.0032901457162911e-74,2.8650352710327103e-75,9.412800908872634e-40,2.9719826761437819e-40,0.0
0.62653061224489792,1713.0413252246308,1.0523267158730819e-05,5.400786739573132e-07,1.3814968526023181e-05,0.072662329994325398,0.00033793409667457066,0.12331655399875921,3.6958304361632032e-07,2.0577802645872056e-08,1.5508715550987836e-26,9.4813051972931098e-28,4.5313651299633275e-27,1.5157795635642741e-28,8.4554063668962877e-26,8.1324980341873276e-26,1.8267774621212988e-05,0.061729992423329591,7.6242471861892265e-15,8.1908971230047584e-17,2.9859461689455308e-24,2.9473020121600025e-26,3.0854633805415964e-25,1.2997334381384809e-37,4.2671397890931457e-34,6.1985363827432922e-41,1.9889442498249761e-40,4.1717899892323402e-47,4.4346228412686701e-48,4.2794227777375605e-30,1.1836950409622796e-29,1.3698568887919478e-33,6.2232718696316219e-12,4.0611992775073142e-13,1.3613837297265813e-13,1.0544926206141775e-12,7.7093936249024486e-13,0.0017450588637472522,3.1323489462425203e-06,9.9228375426774524e-08,1.3408214649780573e-09,4.7781105339982312e-21,1.0350269647458442e-17,2.5655074609878559e-26,3.1032236547947951e-30,1.0607206310226698e-22,2.5387409600555839e-17,4.5067750729679473e-14,5.564456466135777e-16,0.74026583426358683,0.0,5.7927900965920058e-69,5.9709508868700399e-70,8.895359805054283e-37,2.1613101939527102e-37,0.0
0.69183673469387763,1825.0265986016191,3.7702776311458062e-05,2.7067418757105647e-06,3.7333809315927917e-05,0.059056654651545179,0.00067738938143930411,0.13511894240766772,5.8935295176118111e-07,3.2565942994192729e-08,2.5375644875842894e-24,1.7182125074908111e-25,6.2789180231516833e-25,2.460429574604004e-26,7.6194771074568009e-24,5.2794476758643925e-24,7.3928619569406942e-05,0.067674582522014054,1.1169178902952577e-13,1.1686676107125691e-15,1.2118885083338495e-22,1.3562977899188563e-24,1.0310874662968858e-23,1.5307321059243274e-34,2.1959413424645205e-31,7.9586085118636871e-38,1.6420665911238205e-37,8.5652976915043244e-44,7.1318379607762745e-45,8.400939336084476e-28,1.6556590137077717e-27,3.3775063599291814e-31,4.8908323253758737e-11,3.5645210432710558e-12,1.0875627141040222e-12,5.6081975929266692e-12,4.2175992906025252e-12,0.0023249587238363726,2.9510704971984666e-06,1.2944565124945561e-07,3.5738869187012002e-09,2.2943638770750207e-19,2.5109039368357341e-16,1.9129315700188689e-24,3.1974214790020661e-28,2.8013455294582567e-21,2.9675164350019476e-16,3.3871574698401544e-13,6.5780655259098706e-15,0.73523624958745948,0.0,2.888754556718753e-64,2.3152754161457577e-65,3.1497696486908289e-34,6.2842040904755272e-35,0.0
0.75714285714285712,1931.0496128475927,0.0001154290941125199,1.0747396474961581e-05,8.2639557821788509e-05,0.045685481259941263,0.0011927717743317559,0.14662735965576992,8.2221681376150532e-07,4.6237613783015877e-08,2.0012855890248752e-22,1.511559262409528e-23,4.5089554632211782e-23,2.0181400750618023e-24,3.9079045288973643e-22,2.1119217401246776e-22,0.00024984770565176904,0.073422657167462921,1.139153194906961e-12,1.1950700720140979e-14,3.0533356535871394e-21,3.8024399089247417e-23,2.261551843811729e-22,7.0772710574894246e-32,5.1885138258211449e-29,4.1479000151139526e-35,6.0552386055703753e-35,6.9526396698758302e-41,4.8349572896447164e-42,8.267285715719697e-26,1.2566803858903244e-25,4.1321256512714629e-29,2.7650349025473292e-10,2.261373889414074e-11,6.5286204941891216e-12,2.4504914605767636e-11,1.7986250547257825e-11,0.0028372665382593019,2.5853865471783223e-06,1.5549502606010773e-07,8.011882462824053e-09,6.4538644941758241e-18,4.0809610017222456e-15,8.1757130753445595e-23,1.7519474845565835e-26,4.6963361782440677e-20,2.5043336210071722e-15,1.9751573130335072e-12,5.4800668787090105e-14,0.73030079287213034,0.0,3.9161560043865492e-60,2.6055765853983807e-61,5.3414951719181482e-32,9.2609569167686634e-33,0.0
0.82244897959183683,2029.9655634599028,0.00031464718576672311,3.5330497310595044e-05,0.00015184924777461399,0.032743595271379426,0.0018658394492966411,0.1577775739807675,9.9797748569528782e-07,5.8823606714601349e-08,8.7975062966860502e-21,7.5197363791500557e-22,1.9516601667652557e-21,9.7666408270538486e-23,1.3183555020583547e-20,5.9895606299581193e-21,0.00073642260353161263,0.078785263327227642,8.7597349417458291e-12,9.5197198228465466e-14,5.3510893657571425e-20,7.2969909255300431e-22,3.6466152625999092e-21,1.5969198758572954e-29,6.8868820907436209e-27,1.1035185057515301e-32,1.2458337154296858e-32,2.8637199668871723e-38,1.7701546029773446e-39,4.7991879459449479e-24,6.0653788315038652e-24,2.9795871151459915e-27,1.1830000074599577e-09,1.0995110022127179e-10,3.1299368152780228e-11,9.2979768250221987e-11,6.2654789246899509e-11,0.0031597773041736835,2.057125110665507e-06,1.7112970720626731e-07,1.5372917075971048e-08,1.1936006832139981e-16,4.9243198688893314e-14,2.2925025813026503e-21,5.860165252306141e-25,5.4867855815900695e-19,1.6428642111762526e-14,9.5127566501196597e-12,3.4472383790483717e-13,0.72551942018450133,0.0,2.0605443969539352e-56,1.2125504574375954e-57,5.2260532031430261e-30,8.3269298374379936e-31,0.0
0.88775510204081631,2119.0486609443233,0.0007919881904164017,9.8757346290843985e-05,0.00022789609292662985,0.020639328919560711,0.0025769124635321291,0.16846451366749221,1.0189151132245645e-06,6.5618425903957934e-08,2.3654229276254805e-19,2.3523027825922154e-20,5.719650977540128e-20,3.1369378572661112e-21,3.3123915937590661e-19,1.3748732230346401e-19,0.0019594921588844236,0.08333797042796913,5.3832837852090219e-11,6.3347167833401294e-13,7.148919720353543e-19,1.0512087292781683e-20,4.7855327092298271e-20,2.0823996405876459e-27,6.1089138660002404e-25,1.8199919297637464e-30,1.7504304808987449e-30,7.4769759509926968e-36,4.4141658545633912e-37,1.8675364423054941e-22,2.1339193436997746e-22,1.458520913309713e-25,3.9021338171570713e-09,4.2312406327195559e-10,1.2517207129490067e-10,3.2268664837913351e-10,1.8329006495047129e-10,0.0031401962875360584,1.4125230527804197e-06,1.6855117324592739e-07,2.5133378507037011e-08,1.5753210491975959e-15,4.8149908000731016e-13,4.7074723292487723e-20,1.3228054988522471e-23,4.7564228124036019e-18,8.859254090707454e-14,3.9838292380246608e-11,1.7099762776924911e-12,0.72096715064299666,0.0,5.8031395362496264e-53,3.2485179069527617e-54,3.4520714337349675e-28,5.3992503852252327e-29,0.0
